workerid,proliferate.condition,correct,response,result,rt,stimulus
121,English_Mandarin_some,,"{'P0_Q0': None, 'eng ok age': 19, 'eng edu year': 7, 'eng start age': 6, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 9, 'English work year': 8, 'Mandarin edu year': 9, 'Mandarin start age': 'since birth', 'Mandarin work year': 2, 'English family year': 8, 'Mandarin family year': 18, 'Mandarin country year': 18}",,87351,
121,English_Mandarin_some,,"{'P0_Q0': None, 'eng count time': '20%', 'eng family time': '0%', 'eng friend time': '90%', 'Eng self talk time': '90%', 'English school time': '100%', 'Mandarin count time': '70%', 'Mandarin family time': '100%', 'Mandarin friend time': '10%', 'Mandarin school time': '0%', 'Mandarin self talk time': '10%', 'other language count time': '10%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,80746,
121,English_Mandarin_some,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 5, 'Mandarin prof read': 6, 'Mandarin prof speak': 5, 'Mandarin prof write': 3, 'eng prof understand': 6, 'Mandarin prof understand': 6}",,21951,
121,English_Mandarin_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 6, 'eng attitude speak': 6, 'Mandarin other eval': 6, 'Mandarin cultural id': 2, 'Mandarin attitude speak': 3}",,21520,
104,Mandarin_English_summa,,"{'age': '22', 'P0_Q0': None, 'gender': 'Male', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'United states', 'disability explanation': ''}",,47057,
104,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': 9, 'eng edu year': 13, 'eng start age': 6, 'Mandarin ok age': 7, 'eng country year': 16, 'English work year': 16, 'Mandarin edu year': 1, 'Mandarin start age': 4, 'Mandarin work year': 0, 'English family year': 16, 'Mandarin family year': 6, 'Mandarin country year': 6}",,97258,
104,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '80%', 'eng family time': '20%', 'eng friend time': '100%', 'Eng self talk time': '80%', 'English school time': '100%', 'Mandarin count time': '20%', 'Mandarin family time': '80%', 'Mandarin friend time': '0%', 'Mandarin school time': '0%', 'Mandarin self talk time': '10%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '10%', 'other languages school time': '0%', 'other language self talk time': '10%'}",,76026,
104,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 1, 'Mandarin prof speak': 3, 'Mandarin prof write': 1, 'eng prof understand': 6, 'Mandarin prof understand': 3}",,23304,
104,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 5, 'eng cultural id': 5, 'eng attitude speak': 5, 'Mandarin other eval': 5, 'Mandarin cultural id': 4, 'Mandarin attitude speak': 3}",,36002,
117,Mandarin_English_summa,,"{'age': '33', 'P0_Q0': None, 'gender': 'Male', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'Ottawa', 'disability explanation': ''}",,24898,
117,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': '20+', 'eng edu year': 10, 'eng start age': 10, 'Mandarin ok age': 3, 'eng country year': 11, 'English work year': 8, 'Mandarin edu year': 16, 'Mandarin start age': 1, 'Mandarin work year': 1, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,64362,
117,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '40%', 'eng family time': '10%', 'eng friend time': '50%', 'Eng self talk time': '40%', 'English school time': '70%', 'Mandarin count time': '60%', 'Mandarin family time': '90%', 'Mandarin friend time': '50%', 'Mandarin school time': '0%', 'Mandarin self talk time': '60%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,84433,
117,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 5, 'eng prof write': 3, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,23826,
117,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 1, 'Eng other eval': 0, 'Mandarin native': 2, 'eng cultural id': 4, 'eng attitude speak': 3, 'Mandarin other eval': 3, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,24887,
100,Mandarin_English_summa,,"{'age': '25', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'canada', 'disability explanation': ''}",,26600,
100,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': 15, 'eng edu year': 16, 'eng start age': 7, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 7, 'English work year': 6, 'Mandarin edu year': 16, 'Mandarin start age': 'since birth', 'Mandarin work year': 16, 'English family year': 0, 'Mandarin family year': 16, 'Mandarin country year': 16}",,79338,
100,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '40%', 'eng family time': '0%', 'eng friend time': '10%', 'Eng self talk time': '30%', 'English school time': '100%', 'Mandarin count time': '60%', 'Mandarin family time': '100%', 'Mandarin friend time': '90%', 'Mandarin school time': '0%', 'Mandarin self talk time': '70%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,51875,
100,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 5, 'eng prof write': 5, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 4, 'Mandarin prof understand': 6}",,20709,
100,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 4, 'Eng other eval': 4, 'Mandarin native': 4, 'eng cultural id': 3, 'eng attitude speak': 4, 'Mandarin other eval': 5, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,27568,
126,Mandarin_English_summa,,"{'age': '21', 'P0_Q0': None, 'gender': 'Female', 'education': 'High school', 'disability': ['vision problem'], 'place of residence': 'Indiana', 'disability explanation': 'glasses/contacts to correct astigmatism/near-sightedness'}",,35655,
126,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': 8, 'eng edu year': 15, 'eng start age': 7, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 15, 'English work year': 15, 'Mandarin edu year': 0, 'Mandarin start age': 'since birth', 'Mandarin work year': 0, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': 7}",,89351,
126,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '100%', 'eng family time': '10%', 'eng friend time': '100%', 'Eng self talk time': '100%', 'English school time': '100%', 'Mandarin count time': '0%', 'Mandarin family time': '90%', 'Mandarin friend time': '0%', 'Mandarin school time': '0%', 'Mandarin self talk time': '0%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,54947,
126,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 3, 'Mandarin prof speak': 3, 'Mandarin prof write': 0, 'eng prof understand': 6, 'Mandarin prof understand': 3}",,39190,
126,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 3, 'eng cultural id': 6, 'eng attitude speak': 6, 'Mandarin other eval': 3, 'Mandarin cultural id': 3, 'Mandarin attitude speak': 4}",,23782,
108,Mandarin_English_summa,,"{'age': '23', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,23052,
108,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': 4, 'eng edu year': 17, 'eng start age': 3, 'Mandarin ok age': 4, 'eng country year': '20+', 'English work year': 3, 'Mandarin edu year': 2, 'Mandarin start age': 3, 'Mandarin work year': 0, 'English family year': '20+', 'Mandarin family year': '20+', 'Mandarin country year': 2}",,55900,
108,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '90%', 'eng family time': '10%', 'eng friend time': '100%', 'Eng self talk time': '90%', 'English school time': '90%', 'Mandarin count time': '10%', 'Mandarin family time': '90%', 'Mandarin friend time': '0%', 'Mandarin school time': '10%', 'Mandarin self talk time': '10%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,46640,
108,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 5, 'Mandarin prof read': 0, 'Mandarin prof speak': 3, 'Mandarin prof write': 0, 'eng prof understand': 6, 'Mandarin prof understand': 2}",,15078,
108,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 3, 'Mandarin native': 4, 'eng cultural id': 5, 'eng attitude speak': 6, 'Mandarin other eval': 5, 'Mandarin cultural id': 4, 'Mandarin attitude speak': 1}",,16387,
113,Mandarin_English_summa,,"{'age': '37', 'P0_Q0': None, 'gender': 'Female', 'education': 'Some graduate school', 'disability': [], 'place of residence': 'New Zealand', 'disability explanation': ''}",,38800,
113,Mandarin_English_summa,,"{'P0_Q0': None, 'eng ok age': '20+', 'eng edu year': 9, 'eng start age': 6, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 1, 'English work year': 8, 'Mandarin edu year': 14, 'Mandarin start age': 'since birth', 'Mandarin work year': 10, 'English family year': 4, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,126626,
113,Mandarin_English_summa,,"{'P0_Q0': None, 'eng count time': '50%', 'eng family time': '90%', 'eng friend time': '20%', 'Eng self talk time': '10%', 'English school time': '100%', 'Mandarin count time': '50%', 'Mandarin family time': '90%', 'Mandarin friend time': '90%', 'Mandarin school time': '10%', 'Mandarin self talk time': '90%', 'other language count time': '0%', 'other langauge family time': '20%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,106549,
113,Mandarin_English_summa,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 3, 'eng prof write': 3, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 4, 'Mandarin prof understand': 6}",,37409,
113,Mandarin_English_summa,,"{'P0_Q0': None, 'eng native': 3, 'Eng other eval': 3, 'Mandarin native': 3, 'eng cultural id': 3, 'eng attitude speak': 2, 'Mandarin other eval': 3, 'Mandarin cultural id': 5, 'Mandarin attitude speak': 6}",,51670,
112,English_Mandarin_summa,,"{'age': '21', 'P0_Q0': None, 'gender': 'Female', 'education': 'Some college', 'disability': [], 'place of residence': 'USA', 'disability explanation': ''}",,26356,
112,English_Mandarin_summa,,"{'P0_Q0': None, 'eng ok age': 'As early as I can remember', 'eng edu year': 17, 'eng start age': 3, 'Mandarin ok age': 'As early as I can remember', 'eng country year': '20+', 'English work year': 1, 'Mandarin edu year': 0, 'Mandarin start age': 2, 'Mandarin work year': 0, 'English family year': '20+', 'Mandarin family year': '20+', 'Mandarin country year': 0}",,67410,
112,English_Mandarin_summa,,"{'P0_Q0': None, 'eng count time': '90%', 'eng family time': '20%', 'eng friend time': '90%', 'Eng self talk time': '90%', 'English school time': '100%', 'Mandarin count time': '10%', 'Mandarin family time': '90%', 'Mandarin friend time': '10%', 'Mandarin school time': '0%', 'Mandarin self talk time': '10%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '10%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,46140,
112,English_Mandarin_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 5, 'Mandarin prof speak': 4, 'Mandarin prof write': 2, 'eng prof understand': 6, 'Mandarin prof understand': 4}",,16787,
112,English_Mandarin_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 5, 'Mandarin native': 2, 'eng cultural id': 6, 'eng attitude speak': 6, 'Mandarin other eval': 5, 'Mandarin cultural id': 4, 'Mandarin attitude speak': 4}",,16828,
107,English_Mandarin_summa,,"{'age': '34', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'california', 'disability explanation': ''}",,28180,
107,English_Mandarin_summa,,"{'P0_Q0': None, 'eng ok age': '20+', 'eng edu year': 10, 'eng start age': 5, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 19, 'English work year': 12, 'Mandarin edu year': '20+', 'Mandarin start age': 'since birth', 'Mandarin work year': 0, 'English family year': '20+', 'Mandarin family year': '20+', 'Mandarin country year': 15}",,139280,
107,English_Mandarin_summa,,"{'P0_Q0': None, 'eng count time': '10%', 'eng family time': '10%', 'eng friend time': '50%', 'Eng self talk time': '80%', 'English school time': '100%', 'Mandarin count time': '90%', 'Mandarin family time': '90%', 'Mandarin friend time': '50%', 'Mandarin school time': '0%', 'Mandarin self talk time': '50%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '10%'}",,99011,
107,English_Mandarin_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 5, 'Mandarin prof speak': 6, 'Mandarin prof write': 3, 'eng prof understand': 6, 'Mandarin prof understand': 5}",,21020,
107,English_Mandarin_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 5, 'eng attitude speak': 6, 'Mandarin other eval': 6, 'Mandarin cultural id': 5, 'Mandarin attitude speak': 6}",,32495,
124,English_Mandarin_summa,,"{'age': '27', 'P0_Q0': None, 'gender': 'Male', 'education': 'Masters', 'disability': [], 'place of residence': 'California', 'disability explanation': ''}",,28984,
124,English_Mandarin_summa,,"{'P0_Q0': None, 'eng ok age': 8, 'eng edu year': 15, 'eng start age': 7, 'Mandarin ok age': 'As early as I can remember', 'eng country year': '20+', 'English work year': 5, 'Mandarin edu year': 1, 'Mandarin start age': 'since birth', 'Mandarin work year': 0, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': 7}",,71549,
124,English_Mandarin_summa,,"{'P0_Q0': None, 'eng count time': '30%', 'eng family time': '0%', 'eng friend time': '100%', 'Eng self talk time': '50%', 'English school time': '100%', 'Mandarin count time': '70%', 'Mandarin family time': '100%', 'Mandarin friend time': '0%', 'Mandarin school time': '0%', 'Mandarin self talk time': '50%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,42169,
124,English_Mandarin_summa,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 5, 'Mandarin prof speak': 5, 'Mandarin prof write': 0, 'eng prof understand': 6, 'Mandarin prof understand': 5}",,36755,
124,English_Mandarin_summa,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 6, 'eng attitude speak': 6, 'Mandarin other eval': 6, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,22566,
119,English_Mandarin_summa,,"{'age': '33', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'new york, NY', 'disability explanation': ''}",,22655,
119,English_Mandarin_summa,,"{'P0_Q0': None, 'eng ok age': 13, 'eng edu year': 11, 'eng start age': 10, 'Mandarin ok age': 3, 'eng country year': '20+', 'English work year': 11, 'Mandarin edu year': 11, 'Mandarin start age': 1, 'Mandarin work year': 5, 'English family year': 5, 'Mandarin family year': 5, 'Mandarin country year': 11}",,94129,
119,English_Mandarin_summa,,"{'P0_Q0': None, 'eng count time': '90%', 'eng family time': '0%', 'eng friend time': '100%', 'Eng self talk time': '90%', 'English school time': '100%', 'Mandarin count time': '10%', 'Mandarin family time': '0%', 'Mandarin friend time': '10%', 'Mandarin school time': '0%', 'Mandarin self talk time': '10%', 'other language count time': '0%', 'other langauge family time': '10%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,58950,
119,English_Mandarin_summa,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 6, 'eng prof write': 5, 'Mandarin prof read': 4, 'Mandarin prof speak': 4, 'Mandarin prof write': 4, 'eng prof understand': 5, 'Mandarin prof understand': 4}",,22685,
119,English_Mandarin_summa,,"{'P0_Q0': None, 'eng native': 5, 'Eng other eval': 4, 'Mandarin native': 5, 'eng cultural id': 5, 'eng attitude speak': 6, 'Mandarin other eval': 2, 'Mandarin cultural id': 4, 'Mandarin attitude speak': 4}",,30230,
103,English_Mandarin_summa,,"{'age': '33', 'P0_Q0': None, 'gender': 'Female', 'education': 'Some college', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,25207,
103,English_Mandarin_summa,,"{'P0_Q0': None, 'eng ok age': 13, 'eng edu year': 18, 'eng start age': 7, 'Mandarin ok age': 3, 'eng country year': 10, 'English work year': 4, 'Mandarin edu year': 18, 'Mandarin start age': 'since birth', 'Mandarin work year': 1, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,242997,
103,English_Mandarin_summa,,"{'P0_Q0': None, 'eng count time': '0%', 'eng family time': '20%', 'eng friend time': '0%', 'Eng self talk time': '0%', 'English school time': '0%', 'Mandarin count time': '100%', 'Mandarin family time': '80%', 'Mandarin friend time': '100%', 'Mandarin school time': '0%', 'Mandarin self talk time': '100%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,149637,
103,English_Mandarin_summa,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 4, 'eng prof write': 3, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,36576,
103,English_Mandarin_summa,,"{'P0_Q0': None, 'eng native': 4, 'Eng other eval': 2, 'Mandarin native': 6, 'eng cultural id': 0, 'eng attitude speak': 2, 'Mandarin other eval': 6, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,35078,
106,Mandarin_English_some,,"{'age': '30', 'P0_Q0': None, 'gender': 'Female', 'education': 'Masters', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,44222,
106,Mandarin_English_some,,"{'P0_Q0': None, 'eng ok age': 18, 'eng edu year': '20+', 'eng start age': 9, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 8, 'English work year': 7, 'Mandarin edu year': '20+', 'Mandarin start age': 'since birth', 'Mandarin work year': 0, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,196123,
106,Mandarin_English_some,,"{'P0_Q0': None, 'eng count time': '20%', 'eng family time': '0%', 'eng friend time': '20%', 'Eng self talk time': '0%', 'English school time': '100%', 'Mandarin count time': '80%', 'Mandarin family time': '100%', 'Mandarin friend time': '60%', 'Mandarin school time': '0%', 'Mandarin self talk time': '100%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,143519,
106,Mandarin_English_some,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 5, 'eng prof write': 5, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,19579,
106,Mandarin_English_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 4, 'eng attitude speak': 6, 'Mandarin other eval': 6, 'Mandarin cultural id': 5, 'Mandarin attitude speak': 6}",,41332,
115,Mandarin_English_some,,"{'age': '22', 'P0_Q0': None, 'gender': 'Male', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,19845,
115,Mandarin_English_some,,"{'P0_Q0': None, 'eng ok age': '20+', 'eng edu year': 10, 'eng start age': 8, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 2, 'English work year': 1, 'Mandarin edu year': 8, 'Mandarin start age': 'since birth', 'Mandarin work year': 3, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,38270,
115,Mandarin_English_some,,"{'P0_Q0': None, 'eng count time': '40%', 'eng family time': '0%', 'eng friend time': '70%', 'Eng self talk time': '30%', 'English school time': '100%', 'Mandarin count time': '60%', 'Mandarin family time': '100%', 'Mandarin friend time': '30%', 'Mandarin school time': '0%', 'Mandarin self talk time': '70%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,48890,
115,Mandarin_English_some,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 5, 'eng prof write': 3, 'Mandarin prof read': 3, 'Mandarin prof speak': 3, 'Mandarin prof write': 4, 'eng prof understand': 5, 'Mandarin prof understand': 3}",,24704,
115,Mandarin_English_some,,"{'P0_Q0': None, 'eng native': 4, 'Eng other eval': 4, 'Mandarin native': 3, 'eng cultural id': 4, 'eng attitude speak': 3, 'Mandarin other eval': 3, 'Mandarin cultural id': 3, 'Mandarin attitude speak': 2}",,7612,
