workerid,proliferate.condition,accuracy,correct,failed_audio,failed_images,failed_video,internal_node_id,response,result,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,error
101,English_Mandarin_some,,,,,,0.0-7.0-0.0,,,,audio/kaching.wav,,276445,,10,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-7.0-1.0,,,,audio/none.wav,,278695,,11,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-7.0-2.0,j,,1962,<img src='image/10.jpg'; style='height:400px'>,,280658,,12,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-7.0-3.0, ,,9139,<h3><big><p2> You let the store worker know that you disagreed with the statement. He therefore knows that the machine is not empty and that he does not need to refill the machine. </p2></big></h3><img src='image/store_worker_gumball.jpg'; style='height:400px'>,,289798,,13,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-8.0-0.0, ,,16859,"<h3><big><p2>Be Careful!</h3></big> <img src='image/13.jpg'; align='left'; style='height:200px'><h3><p2>One time, someone got this many gumballs and was told ""You got all of the gumballs."" <br>They pressed ""NO"" (J) telling the store worker that they disagreed with the statement. He thought the machine was not empty and that he did not need to refill it. He was fired.</br></p2></h3> <img src='image/store_worker_fired.jpg'; align='right'; style='height:200px'><br><br><br><br><br><br><br>",,306657,,14,html-keyboard-response,
101,English_Mandarin_some,,True,,,,0.0-8.0-1.0,a,,17488,"<h3><big>Quiz</big></h3><br>When will the store worker be fired? <br> Please press the corresponding button on the keyboard.（For instance, if you choose a, then press ""a"" on your keyboard）<br><br>a. When the machines are empty.<br> b. When the machines jam.<br> c. When the machines explode.<br> d. When the machines don't make a sound.",,325148,,15,categorize-html,
101,English_Mandarin_some,,,,,,0.0-9.0-0.0, ,,4574,"<h3>Let's start with four practice trials.</h3> Please make sure that your index fingers are on the J and F keys. <br><p2>Please remember, you have four seconds to inform the worker after you hear the statement.</p2></br></h3> <br><br><br><br><br><br>",,329723,,16,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-1.0,,,,audio/kaching.wav,,330421,,17,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-2.0,f,false_alarm,1341,audio/all.wav,,331764,,18,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-3.0, ,,781,,,332546,,19,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-4.0,,,,audio/kaching.wav,,333231,,20,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-5.0,j,false_alarm,1789,audio/none.wav,,335026,,21,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-6.0, ,,525,,,335552,,22,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-7.0,,,,audio/kaching.wav,,336241,,23,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-8.0,j,false_alarm,1880,audio/all.wav,,338124,,24,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-9.0, ,,734,,,338859,,25,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-10.0,,,,audio/kaching.wav,,339541,,26,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-11.0,f,false_alarm,2280,audio/none.wav,,341823,,27,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-12.0, ,,597,,,342420,,28,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-9.0-13.0, ,,2827,"<h3>Great! Now we can start the real experiment.</h3> Please make sure that your index fingers are on the J and F keys. <br><p2>Remember: J means ""agree"" and F means ""disagree""!</p2></br></h3> <br><br><br><br><br><br>",,345247,,29,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.0,,,,audio/kaching.wav,,345931,,30,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.0,f,miss,2541,audio/some-critical.wav,,348818,,31,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.0, ,,862,,,349681,,32,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.1,,,,audio/kaching.wav,,350371,,33,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.1,f,miss,1288,audio/some-critical.wav,,351666,,34,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.1, ,,733,,,352399,,35,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.2,,,,audio/kaching.wav,,353081,,36,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.2,j,correct_rejection,1539,audio/all.wav,,354627,,37,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.2, ,,306,,,354933,,38,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.3,,,,audio/kaching.wav,,355621,,39,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.3,f,miss,1360,audio/some-critical.wav,,356989,,40,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.3, ,,458,,,357448,,41,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.4,,,,audio/kaching.wav,,358131,,42,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.4,f,miss,1189,audio/some-critical.wav,,359322,,43,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.4, ,,417,,,359740,,44,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.5,,,,audio/kaching.wav,,360431,,45,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.5,f,miss,1221,audio/some-critical.wav,,361659,,46,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.5, ,,520,,,362179,,47,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.6,,,,audio/kaching.wav,,362861,,48,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.6,f,hit,1112,audio/some.wav,,364220,,49,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.6, ,,368,,,364588,,50,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.7,,,,audio/kaching.wav,,365271,,51,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.7,f,hit,1621,audio/two.wav,,367339,,52,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.7, ,,381,,,367721,,53,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.8,,,,audio/kaching.wav,,368411,,54,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.8,j,correct_rejection,1611,audio/six.wav,,370436,,55,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.8, ,,240,,,370677,,56,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.9,,,,audio/kaching.wav,,371361,,57,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.9,,false_alarm,,audio/ten.wav,,375646,,58,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.9, ,,942,,,376589,,59,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.10,,,,audio/kaching.wav,,377271,,60,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.10,f,miss,1741,audio/some-critical.wav,,379019,,61,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.10, ,,683,,,379702,,62,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.11,,,,audio/kaching.wav,,380391,,63,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.11,j,correct_rejection,1440,audio/all.wav,,381835,,64,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.11, ,,331,,,382167,,65,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.12,,,,audio/kaching.wav,,382851,,66,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.12,f,hit,1469,audio/two.wav,,384331,,67,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.12, ,,439,,,384770,,68,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.13,,,,audio/kaching.wav,,385451,,69,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.13,f,hit,1309,audio/all.wav,,386770,,70,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.13, ,,409,,,387179,,71,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.14,,,,audio/kaching.wav,,387861,,72,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.14,f,hit,1912,audio/none.wav,,389772,,73,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.14, ,,444,,,390216,,74,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.15,,,,audio/kaching.wav,,390901,,75,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.15,j,correct_rejection,1640,audio/some.wav,,392548,,76,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.15, ,,392,,,392940,,77,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.16,,,,audio/kaching.wav,,393631,,78,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.16,f,hit,2720,audio/ten.wav,,396354,,79,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.16, ,,938,,,397293,,80,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.17,,,,audio/kaching.wav,,397981,,81,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.17,j,correct_rejection,1421,audio/some.wav,,399406,,82,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.17, ,,485,,,399892,,83,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.18,,,,audio/kaching.wav,,400581,,84,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.18,j,correct_rejection,1341,audio/two.wav,,401928,,85,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.18, ,,554,,,402483,,86,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.19,,,,audio/kaching.wav,,403171,,87,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.19,f,hit,2909,audio/ten.wav,,406081,,88,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.19, ,,708,,,406790,,89,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.20,,,,audio/kaching.wav,,407470,,90,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.20,f,hit,3589,audio/six.wav,,411066,,91,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.20, ,,480,,,411546,,92,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.21,,,,audio/kaching.wav,,412231,,93,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.21,j,correct_rejection,1261,audio/none.wav,,413500,,94,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.21, ,,392,,,413893,,95,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.22,,,,audio/kaching.wav,,414581,,96,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.22,j,correct_rejection,1211,audio/none.wav,,415796,,97,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.22, ,,342,,,416138,,98,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.23,,,,audio/kaching.wav,,416821,,99,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.23,j,correct_rejection,2101,audio/six.wav,,418930,,100,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.23, ,,1147,,,420078,,101,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.24,,,,audio/kaching.wav,,420761,,102,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.24,f,hit,1819,audio/some.wav,,422590,,103,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.24, ,,504,,,423095,,104,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.25,,,,audio/kaching.wav,,423781,,105,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.25,j,correct_rejection,2621,audio/ten.wav,,426405,,106,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.25, ,,485,,,426890,,107,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.26,,,,audio/kaching.wav,,427581,,108,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.26,f,miss,1501,audio/some-critical.wav,,429090,,109,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.26, ,,551,,,429642,,110,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.27,,,,audio/kaching.wav,,430331,,111,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.27,f,hit,2360,audio/six.wav,,432694,,112,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.27, ,,469,,,433163,,113,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.28,,,,audio/kaching.wav,,433851,,114,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.28,j,false_alarm,1688,audio/none.wav,,435545,,115,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.28, ,,820,,,436366,,116,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.29,,,,audio/kaching.wav,,437052,,117,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.29,j,correct_rejection,1600,audio/two.wav,,438652,,118,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.29, ,,475,,,439127,,119,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.30,,,,audio/kaching.wav,,439812,,120,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-10.0-1.30,f,hit,1149,audio/all.wav,,440964,,121,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.30, ,,495,,,441460,,122,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-0.31,,,,audio/kaching.wav,,442141,,123,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-10.0-1.31,f,miss,1320,audio/some-critical.wav,,443470,,124,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-10.0-2.31, ,,438,,,443909,,125,html-keyboard-response,
101,English_Mandarin_some,,True,,,,0.0-11.0-0.0,b,,10990,"接下来你将会用中文来完成剩下的试验。 <br><br><h3><big>测验</big></h3><br>店员何时会被解雇? <br>请按下选项相应的字母键（如选择a, 则按a键）<br><br>a. 当机器爆炸时。 <br> b. 当机器空了的时候。 <br> c. 当机器没有声音时。 <br> d. 当机器卡住时。",,455914,,126,categorize-html,
101,English_Mandarin_some,,,,,,0.0-12.0-0.0,,,,audio/kaching.wav,,456602,,127,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.0,,false_alarm,,audio/yixie-critical.wav,,460830,,128,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.0, ,,711,,,461542,,129,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.1,,,,audio/kaching.wav,,462232,,130,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.1,f,hit,1851,audio/yixie.wav,,464083,,131,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.1, ,,619,,,464703,,132,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.2,,,,audio/kaching.wav,,465391,,133,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.2,j,correct_rejection,1280,audio/yixie.wav,,466673,,134,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.2, ,,345,,,467018,,135,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.3,,,,audio/kaching.wav,,467701,,136,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.3,f,hit,2240,audio/meiyou.wav,,469942,,137,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.3, ,,583,,,470525,,138,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.4,,,,audio/kaching.wav,,471211,,139,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.4,j,correct_rejection,1608,audio/2.wav,,472825,,140,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.4, ,,469,,,473295,,141,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.5,,,,audio/kaching.wav,,473982,,142,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.5,f,hit,3541,audio/10.wav,,477526,,143,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.5, ,,576,,,478102,,144,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.6,,,,audio/kaching.wav,,478792,,145,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.6,f,hit,2469,audio/10.wav,,481269,,146,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.6, ,,628,,,481898,,147,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.7,,,,audio/kaching.wav,,482581,,148,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.7,f,miss,1800,audio/yixie-critical.wav,,484383,,149,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.7, ,,637,,,485021,,150,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.8,,,,audio/kaching.wav,,485712,,151,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.8,j,correct_rejection,1621,audio/meiyou.wav,,487338,,152,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.8, ,,1399,,,488737,,153,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.9,,,,audio/kaching.wav,,489421,,154,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.9,f,miss,1541,audio/yixie-critical.wav,,490966,,155,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.9, ,,406,,,491373,,156,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.10,,,,audio/kaching.wav,,492061,,157,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.10,f,miss,1440,audio/yixie-critical.wav,,493507,,158,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.10, ,,591,,,494100,,159,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.11,,,,audio/kaching.wav,,494781,,160,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.11,f,hit,1280,audio/suoyou.wav,,496063,,161,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.11, ,,500,,,496564,,162,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.12,,,,audio/kaching.wav,,497251,,163,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.12,f,hit,1688,audio/2.wav,,498946,,164,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.12, ,,469,,,499415,,165,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.13,,,,audio/kaching.wav,,500101,,166,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.13,j,false_alarm,1392,audio/meiyou.wav,,501493,,167,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.13, ,,654,,,502147,,168,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.14,,,,audio/kaching.wav,,502831,,169,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.14,f,miss,1120,audio/yixie-critical.wav,,503958,,170,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.14, ,,464,,,504423,,171,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.15,,,,audio/kaching.wav,,505111,,172,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.15,f,hit,1291,audio/suoyou.wav,,506402,,173,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.15, ,,362,,,506764,,174,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.16,,,,audio/kaching.wav,,507451,,175,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.16,f,miss,1000,audio/yixie-critical.wav,,508454,,176,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.16, ,,419,,,508874,,177,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.17,,,,audio/kaching.wav,,509561,,178,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.17,f,hit,1509,audio/2.wav,,511077,,179,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.17, ,,331,,,511408,,180,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.18,,,,audio/kaching.wav,,512091,,181,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.18,j,correct_rejection,1920,audio/10.wav,,514015,,182,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.18, ,,373,,,514389,,183,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.19,,,,audio/kaching.wav,,515071,,184,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.19,j,correct_rejection,1541,audio/suoyou.wav,,516619,,185,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.19, ,,494,,,517113,,186,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.20,,,,audio/kaching.wav,,517801,,187,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.20,j,correct_rejection,1469,audio/meiyou.wav,,519277,,188,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.20, ,,539,,,519817,,189,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.21,,,,audio/kaching.wav,,520501,,190,audio-keyboard-response,
101,English_Mandarin_some,,f,,,,0.0-12.0-1.21,f,hit,1811,audio/6.wav,,522320,,191,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-2.21, ,,503,,,522823,,192,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-12.0-0.22,,,,audio/kaching.wav,,523511,,193,audio-keyboard-response,
101,English_Mandarin_some,,j,,,,0.0-12.0-1.22,j,correct_rejection,2061,audio/6.wav,,525575,,194,audio-keyboard-response,
